date,store_id,city,sku_id,power_cluster,predicted_demand,confidence_score,lower_bound,upper_bound
2023-07-01,STORE_029,Chennai,SKU_188,medium,18.69,0.39,10.57,26.81
2023-07-02,STORE_029,Chennai,SKU_188,medium,18.69,0.68,14.77,22.61
2023-07-03,STORE_029,Chennai,SKU_188,medium,14.16,0.44,8.59,19.73
2023-07-04,STORE_029,Chennai,SKU_188,medium,14.16,0.9,13.59,14.73
2023-07-05,STORE_029,Chennai,SKU_188,medium,14.16,0.62,10.6,17.72
2023-07-06,STORE_029,Chennai,SKU_188,medium,14.18,0.73,11.78,16.58
2023-07-07,STORE_029,Chennai,SKU_188,medium,14.18,0.9,13.61,14.75
2023-07-01,STORE_029,Chennai,SKU_042,high,12.64,0.55,8.72,16.56
2023-07-02,STORE_029,Chennai,SKU_042,high,12.62,0.75,10.66,14.58
2023-07-03,STORE_029,Chennai,SKU_042,high,9.5,0.65,7.27,11.73
2023-07-04,STORE_029,Chennai,SKU_042,high,9.5,0.91,9.22,9.78
2023-07-05,STORE_029,Chennai,SKU_042,high,9.5,0.91,9.24,9.76
2023-07-06,STORE_029,Chennai,SKU_042,high,9.59,0.43,5.78,13.4
2023-07-07,STORE_029,Chennai,SKU_042,high,9.59,0.92,9.37,9.81
2023-07-01,STORE_034,Kolkata,SKU_070,medium,12.48,0.89,11.92,13.04
2023-07-02,STORE_034,Kolkata,SKU_070,medium,12.47,0.72,10.26,14.68
2023-07-03,STORE_034,Kolkata,SKU_070,medium,9.73,0.88,9.23,10.23
2023-07-04,STORE_034,Kolkata,SKU_070,medium,9.73,0.94,9.62,9.84
2023-07-05,STORE_034,Kolkata,SKU_070,medium,9.73,0.68,7.68,11.78
2023-07-06,STORE_034,Kolkata,SKU_070,medium,9.72,0.94,9.68,9.76
2023-07-07,STORE_034,Kolkata,SKU_070,medium,9.72,0.89,9.26,10.18
2023-07-01,STORE_040,Ahmedabad,SKU_114,low,11.53,0.77,9.97,13.09
2023-07-02,STORE_040,Ahmedabad,SKU_114,low,11.52,0.89,10.95,12.09
2023-07-03,STORE_040,Ahmedabad,SKU_114,low,8.77,0.73,7.29,10.25
2023-07-04,STORE_040,Ahmedabad,SKU_114,low,8.77,0.75,7.43,10.11
2023-07-05,STORE_040,Ahmedabad,SKU_114,low,8.77,0.47,5.51,12.03
2023-07-06,STORE_040,Ahmedabad,SKU_114,low,8.83,0.43,5.31,12.35
2023-07-07,STORE_040,Ahmedabad,SKU_114,low,8.83,0.95,8.81,8.85
2023-07-01,STORE_043,Jaipur,SKU_150,very_high,2.56,0.81,2.28,2.84
2023-07-02,STORE_043,Jaipur,SKU_150,very_high,2.56,0.62,1.91,3.21
2023-07-03,STORE_043,Jaipur,SKU_150,very_high,2.27,0.83,2.06,2.48
2023-07-04,STORE_043,Jaipur,SKU_150,very_high,2.27,0.7,1.83,2.71
2023-07-05,STORE_043,Jaipur,SKU_150,very_high,2.27,0.53,1.53,3.01
2023-07-06,STORE_043,Jaipur,SKU_150,very_high,2.27,0.36,1.24,3.3
2023-07-07,STORE_043,Jaipur,SKU_150,very_high,2.27,0.47,1.42,3.12
2023-07-01,STORE_026,Hyderabad,SKU_108,medium,1.99,0.46,1.24,2.74
2023-07-02,STORE_026,Hyderabad,SKU_108,medium,1.99,0.47,1.26,2.72
2023-07-03,STORE_026,Hyderabad,SKU_108,medium,1.76,0.74,1.48,2.04
2023-07-04,STORE_026,Hyderabad,SKU_108,medium,1.76,0.71,1.43,2.09
2023-07-05,STORE_026,Hyderabad,SKU_108,medium,1.76,0.68,1.39,2.13
2023-07-06,STORE_026,Hyderabad,SKU_108,medium,1.76,0.74,1.48,2.04
