store_id,sku_id,stock_level,lead_time_days
STORE_001,SKU_001,19,7
STORE_001,SKU_002,7,7
STORE_001,SKU_003,22,7
STORE_001,SKU_004,15,4
STORE_001,SKU_005,17,4
STORE_001,SKU_006,21,5
STORE_001,SKU_007,18,6
STORE_001,SKU_008,17,2
STORE_001,SKU_009,7,7
STORE_001,SKU_010,21,8
STORE_001,SKU_011,16,9
STORE_001,SKU_012,18,3
STORE_001,SKU_013,11,10
STORE_001,SKU_014,12,7
STORE_001,SKU_015,22,4
STORE_001,SKU_016,8,7
STORE_001,SKU_017,12,3
STORE_001,SKU_018,15,2
STORE_001,SKU_019,28,2
STORE_001,SKU_020,19,7
STORE_001,SKU_021,18,9
STORE_001,SKU_022,9,4
STORE_001,SKU_023,19,5
STORE_001,SKU_024,22,10
STORE_001,SKU_025,17,6
STORE_001,SKU_026,14,9
STORE_001,SKU_027,2,9
STORE_001,SKU_028,22,7
STORE_001,SKU_029,18,6
STORE_001,SKU_030,30,10
STORE_001,SKU_031,10,5
STORE_001,SKU_032,16,9
STORE_001,SKU_033,12,6
STORE_001,SKU_034,25,8
STORE_001,SKU_035,6,9
STORE_001,SKU_036,26,4
STORE_001,SKU_037,8,3
STORE_001,SKU_038,11,7
STORE_001,SKU_039,19,3
STORE_001,SKU_040,13,4
STORE_001,SKU_041,12,10
STORE_001,SKU_042,14,4
STORE_001,SKU_043,4,3
STORE_001,SKU_044,19,5
STORE_001,SKU_045,10,9
STORE_001,SKU_046,34,5
STORE_001,SKU_047,11,2
STORE_001,SKU_048,18,9
STORE_001,SKU_049,14,7
STORE_001,SKU_050,14,7
STORE_001,SKU_051,24,3
STORE_001,SKU_052,16,3
STORE_001,SKU_053,22,5
STORE_001,SKU_054,20,5
STORE_001,SKU_055,29,9
STORE_001,SKU_056,14,8
STORE_001,SKU_057,21,2
STORE_001,SKU_058,24,6
STORE_001,SKU_059,4,6
STORE_001,SKU_060,12,8
STORE_001,SKU_061,20,7
STORE_001,SKU_062,20,10
STORE_001,SKU_063,17,4
STORE_001,SKU_064,17,10
STORE_001,SKU_065,16,10
STORE_001,SKU_066,9,7
STORE_001,SKU_067,17,10
STORE_001,SKU_068,20,4
STORE_001,SKU_069,24,10
STORE_001,SKU_070,29,2
STORE_001,SKU_071,16,8
STORE_001,SKU_072,30,6
STORE_001,SKU_073,20,4
STORE_001,SKU_074,11,2
STORE_001,SKU_075,22,7
STORE_001,SKU_076,15,8
STORE_001,SKU_077,11,10
STORE_001,SKU_078,31,7
STORE_001,SKU_079,13,10
STORE_001,SKU_080,23,9
STORE_001,SKU_081,17,5
STORE_001,SKU_082,24,7
STORE_001,SKU_083,15,6
STORE_001,SKU_084,29,8
STORE_001,SKU_085,8,6
STORE_001,SKU_086,21,9
STORE_001,SKU_087,13,10
STORE_001,SKU_088,16,5
STORE_001,SKU_089,26,5
STORE_001,SKU_090,18,9
STORE_001,SKU_091,15,10
STORE_001,SKU_092,22,9
STORE_001,SKU_093,15,2
STORE_001,SKU_094,22,10
STORE_001,SKU_095,12,2
STORE_001,SKU_096,21,2
STORE_001,SKU_097,12,7
STORE_001,SKU_098,23,4
STORE_001,SKU_099,12,7
STORE_001,SKU_100,23,4
STORE_001,SKU_101,16,4
STORE_001,SKU_102,21,3
STORE_001,SKU_103,16,4
STORE_001,SKU_104,10,6
STORE_001,SKU_105,16,7
